"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "vue", "JSON with Comments", "PostCSS", "XML", "comment", "blank", "total"
"d:\WEBProgramozás\laguna-lovas-klub\.claude\CLAUDE.md", "Markdown", 0, 0, 116, 0, 0, 0, 0, 0, 0, 48, 164
"d:\WEBProgramozás\laguna-lovas-klub\.claude\settings.local.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\WEBProgramozás\laguna-lovas-klub\README.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 0, 18, 84
"d:\WEBProgramozás\laguna-lovas-klub\docs\API_ENDPOINTS.md", "Markdown", 0, 0, 163, 0, 0, 0, 0, 0, 0, 62, 225
"d:\WEBProgramozás\laguna-lovas-klub\docs\BACKLOG.md", "Markdown", 0, 0, 210, 0, 0, 0, 0, 0, 0, 58, 268
"d:\WEBProgramozás\laguna-lovas-klub\docs\DATABASE_SCHEMA.md", "Markdown", 0, 0, 101, 0, 0, 0, 0, 0, 0, 25, 126
"d:\WEBProgramozás\laguna-lovas-klub\docs\NEXT_STEPS.md", "Markdown", 0, 0, 48, 0, 0, 0, 0, 0, 0, 15, 63
"d:\WEBProgramozás\laguna-lovas-klub\docs\PROGRESS.md", "Markdown", 0, 0, 231, 0, 0, 0, 0, 0, 0, 45, 276
"d:\WEBProgramozás\laguna-lovas-klub\docs\PROJECT_VISION.md", "Markdown", 0, 0, 37, 0, 0, 0, 0, 0, 0, 14, 51
"d:\WEBProgramozás\laguna-lovas-klub\docs\TESTING_INCREMENT_5.md", "Markdown", 0, 0, 232, 0, 0, 0, 0, 0, 0, 113, 345
"d:\WEBProgramozás\laguna-lovas-klub\docs\THEME.md", "Markdown", 0, 0, 80, 0, 0, 0, 0, 0, 0, 19, 99
"d:\WEBProgramozás\laguna-lovas-klub\docs\database_schema.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_2\DOCS_INCREMENT_2.md", "Markdown", 0, 0, 240, 0, 0, 0, 0, 0, 0, 66, 306
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_2\IMPLEMENTATION_GUIDE.md", "Markdown", 0, 0, 148, 0, 0, 0, 0, 0, 0, 44, 192
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_2\LOGOUT_SUPPLEMENT.md", "Markdown", 0, 0, 137, 0, 0, 0, 0, 0, 1, 43, 181
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_2\README_INCREMENT_2.md", "Markdown", 0, 0, 61, 0, 0, 0, 0, 0, 0, 27, 88
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_2\SPEC_INCREMENT_2.md", "Markdown", 0, 0, 204, 0, 0, 0, 0, 0, 0, 61, 265
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_3\IMPLEMENTATION_GUIDE.md", "Markdown", 0, 0, 637, 0, 0, 0, 0, 0, 18, 154, 809
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_3\README_INCREMENT_3.md", "Markdown", 0, 0, 136, 0, 0, 0, 0, 0, 0, 67, 203
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_3\SPEC_INCREMENT_3.md", "Markdown", 0, 0, 387, 0, 0, 0, 0, 0, 0, 147, 534
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_4\IMPLEMENTATION_GUIDE.md", "Markdown", 0, 0, 1026, 0, 0, 0, 0, 0, 11, 187, 1224
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_4\README_INCREMENT_4.md", "Markdown", 0, 0, 181, 0, 0, 0, 0, 0, 0, 77, 258
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_4\SPEC_INCREMENT_4.md", "Markdown", 0, 0, 456, 0, 0, 0, 0, 0, 0, 163, 619
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_5\COMPLETION_REPORT.md", "Markdown", 0, 0, 195, 0, 0, 0, 0, 0, 0, 63, 258
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_5\DOCS_INCREMENT_5.md", "Markdown", 0, 0, 191, 0, 0, 0, 0, 0, 0, 69, 260
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_5\IMPLEMENTATION_GUIDE.md", "Markdown", 0, 0, 431, 0, 0, 0, 0, 0, 13, 105, 549
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_5\README_INCREMENT_5.md", "Markdown", 0, 0, 137, 0, 0, 0, 0, 0, 0, 52, 189
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_5\RESTRUCTURING_SUMMARY.md", "Markdown", 0, 0, 169, 0, 0, 0, 0, 0, 0, 48, 217
"d:\WEBProgramozás\laguna-lovas-klub\docs\increment_5\SPEC_INCREMENT_5.md", "Markdown", 0, 0, 482, 0, 0, 0, 0, 0, 0, 116, 598
"d:\WEBProgramozás\laguna-lovas-klub\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\WEBProgramozás\laguna-lovas-klub\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\WEBProgramozás\laguna-lovas-klub\package-lock.json", "JSON", 3199, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3200
"d:\WEBProgramozás\laguna-lovas-klub\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\WEBProgramozás\laguna-lovas-klub\src\App.vue", "vue", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\WEBProgramozás\laguna-lovas-klub\src\assets\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 71, 0, 2, 14, 87
"d:\WEBProgramozás\laguna-lovas-klub\src\assets\img\letöltés.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\WEBProgramozás\laguna-lovas-klub\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\WEBProgramozás\laguna-lovas-klub\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 656, 0, 37, 68, 761
"d:\WEBProgramozás\laguna-lovas-klub\src\components\Footer.vue", "vue", 0, 0, 0, 0, 149, 0, 0, 0, 0, 10, 159
"d:\WEBProgramozás\laguna-lovas-klub\src\components\Header.vue", "vue", 0, 0, 0, 0, 246, 0, 0, 0, 0, 35, 281
"d:\WEBProgramozás\laguna-lovas-klub\src\components\admin\AdminDashboard.vue", "vue", 0, 0, 0, 0, 157, 0, 0, 0, 6, 14, 177
"d:\WEBProgramozás\laguna-lovas-klub\src\components\admin\AdminLayout.vue", "vue", 0, 0, 0, 0, 55, 0, 0, 0, 4, 11, 70
"d:\WEBProgramozás\laguna-lovas-klub\src\components\admin\LoginPage.vue", "vue", 0, 0, 0, 0, 101, 0, 0, 0, 5, 17, 123
"d:\WEBProgramozás\laguna-lovas-klub\src\components\competitions\AdminCompetitionList.vue", "vue", 0, 0, 0, 0, 129, 0, 0, 0, 5, 15, 149
"d:\WEBProgramozás\laguna-lovas-klub\src\components\competitions\CompetitionForm.vue", "vue", 0, 0, 0, 0, 386, 0, 0, 0, 14, 31, 431
"d:\WEBProgramozás\laguna-lovas-klub\src\components\contact\AdminContactList.vue", "vue", 0, 0, 0, 0, 151, 0, 0, 0, 1, 10, 162
"d:\WEBProgramozás\laguna-lovas-klub\src\components\contact\ContactForm.vue", "vue", 0, 0, 0, 0, 97, 0, 0, 0, 0, 11, 108
"d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\AdminHorseList.vue", "vue", 0, 0, 0, 0, 134, 0, 0, 0, 5, 15, 154
"d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseCard.vue", "vue", 0, 0, 0, 0, 70, 0, 0, 0, 3, 11, 84
"d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseFilter.vue", "vue", 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 38
"d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseForm.vue", "vue", 0, 0, 0, 0, 286, 0, 0, 0, 13, 31, 330
