Date : 2026-02-23 15:05:27
Directory : d:\WEBProgramozás\laguna-lovas-klub
Total : 96 files,  16875 codes, 599 comments, 2854 blanks, all 20328 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |         27 |      6,502 |         43 |      1,906 |      8,451 |
| vue                |         39 |      4,550 |        175 |        545 |      5,270 |
| JSON               |          3 |      3,233 |          0 |          3 |      3,236 |
| JavaScript         |         20 |      1,839 |        342 |        315 |      2,496 |
| PostCSS            |          2 |        727 |         39 |         82 |        848 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          8 |          0 |          1 |          9 |
| XML                |          3 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         96 |     16,875 |        599 |      2,854 |     20,328 |
| . (Files)                                                                                |          6 |      3,328 |          1 |         25 |      3,354 |
| .claude                                                                                  |          2 |        123 |          0 |         49 |        172 |
| docs                                                                                     |         26 |      6,321 |         43 |      1,840 |      8,204 |
| docs (Files)                                                                             |          9 |      1,103 |          0 |        351 |      1,454 |
| docs\increment_2                                                                         |          5 |        790 |          1 |        241 |      1,032 |
| docs\increment_3                                                                         |          3 |      1,160 |         18 |        368 |      1,546 |
| docs\increment_4                                                                         |          3 |      1,663 |         11 |        427 |      2,101 |
| docs\increment_5                                                                         |          6 |      1,605 |         13 |        453 |      2,071 |
| src                                                                                      |         62 |      7,103 |        555 |        940 |      8,598 |
| src (Files)                                                                              |          2 |         33 |          2 |          9 |         44 |
| src\assets                                                                               |          4 |        729 |         39 |         83 |        851 |
| src\assets (Files)                                                                       |          3 |        728 |         39 |         83 |        850 |
| src\assets\img                                                                           |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                           |         30 |      3,683 |        122 |        418 |      4,223 |
| src\components (Files)                                                                   |          2 |        395 |          0 |         45 |        440 |
| src\components\admin                                                                     |          3 |        313 |         15 |         42 |        370 |
| src\components\competitions                                                              |          2 |        515 |         19 |         46 |        580 |
| src\components\contact                                                                   |          2 |        248 |          1 |         21 |        270 |
| src\components\horses                                                                    |          7 |        889 |         35 |        129 |      1,053 |
| src\components\icons                                                                     |          5 |         46 |          1 |          5 |         52 |
| src\components\pages                                                                     |          3 |        544 |         17 |         44 |        605 |
| src\components\products                                                                  |          4 |        591 |         29 |         66 |        686 |
| src\components\webshop                                                                   |          2 |        142 |          5 |         20 |        167 |
| src\composables                                                                          |         10 |      1,052 |        130 |        158 |      1,340 |
| src\router                                                                               |          1 |        122 |          5 |          9 |        136 |
| src\services                                                                             |          6 |        601 |        199 |        134 |        934 |
| src\utils                                                                                |          1 |         36 |          5 |          5 |         46 |
| src\views                                                                                |          8 |        847 |         53 |        124 |      1,024 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\WEBProgramozás\laguna-lovas-klub\.claude\CLAUDE.md                                    | Markdown           |        116 |          0 |         48 |        164 |
| d:\WEBProgramozás\laguna-lovas-klub\.claude\settings.local.json                          | JSON               |          7 |          0 |          1 |          8 |
| d:\WEBProgramozás\laguna-lovas-klub\README.md                                            | Markdown           |         66 |          0 |         18 |         84 |
| d:\WEBProgramozás\laguna-lovas-klub\docs\API_ENDPOINTS.md                                | Markdown           |        163 |          0 |         62 |        225 |
| d:\WEBProgramozás\laguna-lovas-klub\docs\BACKLOG.md                                      | Markdown           |        210 |          0 |         58 |        268 |
| d:\WEBProgramozás\laguna-lovas-klub\docs\DATABASE_SCHEMA.md                              | Markdown           |        101 |          0 |         25 |        126 |
